CODE,ENGLISHNAME,SCIENTIFICNAME,RANGE
9281,Santa Marta Sabrewing,Campylopterus phainopeplus,SA : ne Colombia
9274,Rufous Sabrewing,Campylopterus rufus,MA : sw Mexico to El Salvador
9282,Napo Sabrewing,Campylopterus villaviscensio,SA : s Colombia to ne Peru
10098,Santa Marta Woodstar,Chaetocercus astreans,SA : ne Colombia
10099,Esmeraldas Woodstar,Chaetocercus berlepschi,SA : w Ecuador
10094,Little Woodstar,Chaetocercus bombus,SA : sw Colombia to nc Peru
10095,Gorgeted Woodstar,Chaetocercus heliodor,SA : Venezuela to w Ecuador
10100,Rufous-shafted Woodstar,Chaetocercus jourdanii,"SA : n Venezuela, n Colombia"
10093,White-bellied Woodstar,Chaetocercus mulsant,SA : Colombia to c Bolivia
9991,Rainbow-bearded Thornbill,Chalcostigma herrani,SA : Colombia to n Peru
9990,Bronze-tailed Thornbill,Chalcostigma heteropogon,"SA : w Venezuela, e Colombia"
9983,Olivaceous Thornbill,Chalcostigma olivaceum,SA : wc Peru to wc Bolivia
9982,Rufous-capped Thornbill,Chalcostigma ruficeps,SA : se Ecuador to wc Bolivia
9986,Blue-mantled Thornbill,Chalcostigma stanleyi,SA : Ecuador to wc Bolivia
9668,White-vented Plumeleteer,Chalybura buffonii,LA : Panama to Venezuela
9673,Bronze-tailed Plumeleteer,Chalybura urochrysia,LA : Nicaragua to sw Ecuador
9394,Blue-chinned Sapphire,Chlorestes notata,"SA : Colombia to e Brazil, Amazonia"
9433,Green-tailed Emerald,Chlorostilbon alice,SA : n Venezuela
9405,Garden Emerald,Chlorostilbon assimilis,"MA : sw Costa Rica, Panama"
9399,Golden-crowned Emerald,Chlorostilbon auriceps,"MA : w, c Mexico"
9425,Brace's Emerald,Chlorostilbon bracei,NA : n Bahamas
9401,Canivet's Emerald,Chlorostilbon canivetii,MA : se Mexico to Costa Rica
9437,Gould's Emerald,Chlorostilbon elegans,NA : Jamaica
9400,Cozumel Emerald,Chlorostilbon forficatus,MA : islands off Yucatan Peninsula
9416,Red-billed Emerald,Chlorostilbon gibsoni,SA : Colombia
9421,Glittering-bellied Emerald,Chlorostilbon lucidus,"SA : e, se, sc"
9428,Puerto Rican Emerald,Chlorostilbon maugaeus,NA : Puerto Rico
9413,Western Emerald,Chlorostilbon melanorhynchus,"SA : w, nw"
9406,Blue-tailed Emerald,Chlorostilbon mellisugus,"SA : n, ne"
9420,Chiribiquete Emerald,Chlorostilbon olivaresi,SA : se Colombia
9434,Short-tailed Emerald,Chlorostilbon poortmani,"SA : Colombia, nw Venezuela"
9426,Cuban Emerald,Chlorostilbon ricordii,"NA : Cuba, Bahamas"
9429,Coppery Emerald,Chlorostilbon russatus,"SA : ne Colombia, nw Venezuela"
9430,Narrow-tailed Emerald,Chlorostilbon stenurus,"SA : Venezuela, Colombia, ne Ecuador"
9427,Hispaniolan Emerald,Chlorostilbon swainsonii,NA : Hispaniola
9344,Ruby-topaz Hummingbird,Chrysolampis mosquitus,"LA : e Panama to n, e, c SA"
9526,Golden-tailed Sapphire,Chrysuronia oenone,"SA : n SA, w Amazonia"
9724,Brazilian Ruby,Clytolaema rubricauda,SA : se Brazil
9816,Golden-bellied Starfrontlet,Coeligena bonapartei,SA : e Colombia to w Venezuela
9797,Bronzy Inca,Coeligena coeligena,SA : n Venezuela to se Bolivia
9821,Blue-throated Starfrontlet,Coeligena helianthea,"SA : ne Colombia, w Venezuela"
9832,Rainbow Starfrontlet,Coeligena iris,"SA : Ecuador, Peru"
9824,Buff-winged Starfrontlet,Coeligena lutetiae,SA : Colombia to Peru
9820,Dusky Starfrontlet,Coeligena orina,SA : nc Colombia
9815,White-tailed Starfrontlet,Coeligena phalerata,SA : ne Colombia
9805,Black Inca,Coeligena prunellei,SA : nc Colombia
9806,Collared Inca,Coeligena torquata,SA : w Venezuela to n Peru
9827,Violet-throated Starfrontlet,Coeligena violifer,SA : s Ecuador to nw Bolivia
9804,Brown Inca,Coeligena wilsoni,SA : w Colombia to w Ecuador
9308,Sparkling Violetear,Colibri coruscans,"SA : n, w"
9301,Brown Violetear,Colibri delphinae,"LA : Guatemala to n and w SA, e Brazil  (Bahia)"
9312,White-vented Violetear,Colibri serrirostris,SA : Bolivia and n Argentina to e and se Brazil and e Paraguay
9302,Green Violetear,Colibri thalassinus,LA : c Mexico to n and w SA
9467,Blue-headed Hummingbird,Cyanophaia bicolor,NA : Lesser Antilles
9465,Doubleday's Hummingbird,Cynanthus doubledayi,MA : s Mexico
9459,Broad-billed Hummingbird,Cynanthus latirostris,"NA, MA : sw USA to c Mexico"
9458,Dusky Hummingbird,Cynanthus sordidus,MA : s Mexico
9496,Violet-bellied Hummingbird,Damophila julie,LA : Panama to nw Peru
9388,Green Thorntail,Discosura conversii,LA : Costa Rica to w Ecuador
9384,Black-bellied Thorntail,Discosura langsdorffi,"SA : w Amazonia, se Brazil"
9387,Letitia's Thorntail,Discosura letitiae,SA : ne Bolivia
9389,Racket-tailed Coquette,Discosura longicaudus,"SA : c and s Venezuela, n Brazil and the Guianas; e Brazil"
9383,Wire-crested Thorntail,Discosura popelairii,SA : e Colombia to ne Peru
10053,Mexican Sheartail,Doricha eliza,MA : se Mexico
10052,Slender Sheartail,Doricha enicura,MA : s Mexico to El Salvador
9254,Blue-fronted Lancebill,Doryfera johannae,"SA : n, nw Amazonia"
9251,Green-fronted Lancebill,Doryfera ludovicae,LA : Costa Rica to Venezuela and nw Bolivia
9443,White-tailed Emerald,Elvira chionura,"MA : Costa Rica, Panama"
9444,Coppery-headed Emerald,Elvira cupreiceps,MA : Costa Rica
9840,Sword-billed Hummingbird,Ensifera ensifera,SA : w Venezuela to ne Bolivia
9895,Emerald-bellied Puffleg,Eriocnemis aline,SA : Colombia to c Peru
9885,Coppery-bellied Puffleg,Eriocnemis cupreoventris,"SA : Colombia, Venezuela"
9883,Black-thighed Puffleg,Eriocnemis derbyi,"SA : Colombia, nw Ecuador"
9893,Blue-capped Puffleg,Eriocnemis glaucopoides,SA : c Bolivia to nw Argentina
9884,Turquoise-throated Puffleg,Eriocnemis godini,SA : nw Ecuador
9877,Gorgeted Puffleg,Eriocnemis isabellae,SA : sw Colombia
9886,Sapphire-vented Puffleg,Eriocnemis luciani,SA : sw Colombia to w Ecuador
9894,Colorful Puffleg,Eriocnemis mirabilis,SA : w Colombia
9892,Golden-breasted Puffleg,Eriocnemis mosquera,SA : w Colombia to nw Ecuador
9876,Black-breasted Puffleg,Eriocnemis nigrivestis,SA : nw Ecuador
9878,Glowing Puffleg,Eriocnemis vestita,SA : nw Venezuela to n Peru
9750,Magnificent Hummingbird,Eugenes fulgens,"NA, MA : sw USA to Panama"
9340,Green-throated Carib,Eulampis holosericeus,"NA : Puerto Rico,  Lesser Antilles"
9339,Purple-throated Carib,Eulampis jugularis,NA : Lesser Antilles
10089,Chilean Woodstar,Eulidia yarrellii,"SA : s Peru, n Chile"
9289,Swallow-tailed Hummingbird,Eupetomena macroura,"SA : ne, e, c"
9446,Oaxaca Hummingbird,Eupherusa cyanophrys,MA : sc Mexico
9448,Stripe-tailed Hummingbird,Eupherusa eximia,MA : s Mexico to w Panama
9452,Black-bellied Hummingbird,Eupherusa nigriventris,"MA : Costa Rica, w Panama"
9447,White-tailed Hummingbird,Eupherusa poliocerca,MA : s Mexico
9149,White-tipped Sicklebill,Eutoxeres aquila,LA : Costa Rica to n  Peru
9153,Buff-tailed Sicklebill,Eutoxeres condamini,SA : se Colombia to nw Bolivia
9299,Black Jacobin,Florisuga fusca,SA : se Brazil to n Uruguay; e Paraguay and ne Argentina
9296,White-necked Jacobin,Florisuga mellivora,LA : s Mexico through Amazonia
9161,Bronzy Hermit,Glaucis aeneus,LA : Honduras to Ecuador
9157,Hook-billed Hermit,Glaucis dohrnii,SA : se Brazil
9158,Rufous-breasted Hermit,Glaucis hirsutus,LA : Panama to se Brazil
9454,Pirre Hummingbird,Goethalsia bella,"LA : e Panama, nw Colombia"
9456,Violet-capped Hummingbird,Goldmania violiceps,"LA : e Panama, nw Colombia"
9904,Buff-thighed Puffleg,Haplophaedia assimilis,"SA : Peru, Bolivia"
9899,Greenish Puffleg,Haplophaedia aureliae,"LA : e Panama,Colombia and Ecuador"
9907,Hoary Puffleg,Haplophaedia lugens,SA : sw Colombia to nw Ecuador
10028,Horned Sungem,Heliactin bilophus,SA : s Surinam and n Brazil; e and se Brazil to e Bolivia
9857,Amethyst-throated Sunangel,Heliangelus amethysticollis,SA : s Ecuador to nw Bolivia
9866,Tourmaline Sunangel,Heliangelus exortis,"SA : Colombia, nw Ecuador"
9856,Orange-throated Sunangel,Heliangelus mavors,"SA : Colombia, Venezuela"
9867,Flame-throated Sunangel,Heliangelus micraster,"SA : Ecuador, Peru"
9872,Royal Sunangel,Heliangelus regalis,SA : n Peru
9865,Gorgeted Sunangel,Heliangelus strophianus,"SA : sw Colombia, nw Ecuador"
9870,Purple-throated Sunangel,Heliangelus viola,"SA : Ecuador, Peru"
9871,Bogota Sunangel,Heliangelus zusii,SA : Colombia
9734,Gould's Jewelfront,Heliodoxa aurescens,"SA : w, c Amazonia"
9730,Rufous-webbed Brilliant,Heliodoxa branickii,SA : se Peru
9729,Pink-throated Brilliant,Heliodoxa gularis,SA : nw Amazonia
9743,Empress Brilliant,Heliodoxa imperatrix,SA : wc Colombia to nw Ecuador
9739,Green-crowned Brilliant,Heliodoxa jacula,LA : Costa Rica to Ecuador
9744,Violet-fronted Brilliant,Heliodoxa leadbeateri,SA : Venezuela to nw Bolivia
9735,Fawn-breasted Brilliant,Heliodoxa rubinoides,SA : Colombia to Peru
9731,Black-throated Brilliant,Heliodoxa schreibersii,SA : w Amazonia
9726,Velvet-browed Brilliant,Heliodoxa xanthogonys,SA : Tepuis
10032,Plain-capped Starthroat,Heliomaster constantii,MA : w
10041,Blue-tufted Starthroat,Heliomaster furcifer,"SA : Bolivia and sw Brazil to n Argentina, se Brazil and Uruguay"
10036,Long-billed Starthroat,Heliomaster longirostris,LA : s Mexico to e Bolivia and ne Brazil
10040,Stripe-breasted Starthroat,Heliomaster squamosus,"SA : e, se Brazil"
10023,Black-eared Fairy,Heliothryx auritus,"SA : Amazonia, e"
10022,Purple-crowned Fairy,Heliothryx barroti,LA : se Mexico to sw Ecuador
9522,Gilded Sapphire,Hylocharis chrysura,"SA : Bolivia to se Brazil, Uruguay and n Argentina"
9516,White-chinned Sapphire,Hylocharis cyanus,"SA : Amazonia, se"
9512,Blue-throated Sapphire,Hylocharis eliciae,LA : s Mexico to nw Colombia
9523,Blue-headed Sapphire,Hylocharis grayi,"SA : w Colombia, n Ecuador"
9524,Humboldt's Sapphire,Hylocharis humboldtii,LA : se Panama to nw Ecuador
9515,Rufous-throated Sapphire,Hylocharis sapphirina,"SA : Amazonia, se"
9754,Scissor-tailed Hummingbird,Hylonympha macrocerca,SA : ne Venezuela
9352,Violet-headed Hummingbird,Klais guimeti,"LA : e Honduras to w, n Amazonia"
9789,Mountain Velvetbreast,Lafresnaya lafresnayi,SA : w Venezuela to c Peru
9683,Amethyst-throated Mountaingem,Lampornis amethystinus,MA : c Mexico to Honduras
9696,Purple-throated Mountaingem,Lampornis calolaemus,MA : s Nicaragua to w Panama
9700,White-throated Mountaingem,Lampornis castaneoventris,MA : w Panama
9701,Grey-tailed Mountaingem,Lampornis cinereicauda,MA : s Costa Rica
9679,Blue-throated Mountaingem,Lampornis clemenciae,"NA, MA : sw USA to c Mexico"
9695,White-bellied Mountaingem,Lampornis hemileucus,"MA : Costa Rica, Panama"
9694,Green-breasted Mountaingem,Lampornis sybillae,"MA : Honduras, Nicaragua"
9689,Green-throated Mountaingem,Lampornis viridipallens,MA : s Mexico to El Salvador
9709,Garnet-throated Hummingbird,Lamprolaima rhami,MA : c Mexico to Honduras
9501,Sapphire-throated Hummingbird,Lepidopyga coeruleogularis,"LA : Panama, Colombia"
9506,Shining-green Hummingbird,Lepidopyga goudoti,"SA : Colombia, nw Venezuela"
9505,Sapphire-bellied Hummingbird,Lepidopyga lilliae,SA : nc Colombia
9926,Green-tailed Trainbearer,Lesbia nuna,SA : ne Colombia to n Bolivia
9922,Black-tailed Trainbearer,Lesbia victoriae,SA : ne Colombia to se Peru
9543,Tumbes Hummingbird,Leucippus baeri,"SA : sw Ecuador, nw Peru"
9545,Olive-spotted Hummingbird,Leucippus chlorocercus,SA : w Amazonia
9542,Buffy Hummingbird,Leucippus fallax,"SA : ne Colombia, nw and n Venezuela"
9544,Spot-throated Hummingbird,Leucippus taczanowskii,"SA : n, c Peru"
9531,White-throated Hummingbird,Leucochloris albicollis,"SA : s Brazil. E Paraguay, ne Argentina and Uruguay"
10030,Marvelous Spatuletail,Loddigesia mirabilis,SA : n Peru
9381,White-crested Coquette,Lophornis adorabilis,"MA : Costa Rica, Panama"
9368,Short-crested Coquette,Lophornis brachylophus,MA : sw Mexico
9373,Festive Coquette,Lophornis chalybeus,"SA : w Amazonia, se Brazil"
9369,Rufous-crested Coquette,Lophornis delattrei,"LA : s MA, w Amazonia"
9366,Dot-eared Coquette,Lophornis gouldii,"SA : ne, c Brazil"
9380,Black-crested Coquette,Lophornis helenae,MA : s Mexico to Costa Rica
9367,Frilled Coquette,Lophornis magnificus,"SA : sc, e and se Brazil"
9365,Tufted Coquette,Lophornis ornatus,"SA : n Venezuela and Trinidad; c Venezuela, th Guianas and ne Brazil"
9377,Peacock Coquette,Lophornis pavoninus,SA : Tepuis
9372,Spangled Coquette,Lophornis stictolophus,SA : w Venezuela to n Peru
10070,Bee Hummingbird,Mellisuga helenae,NA : Cuba
10067,Vervain Hummingbird,Mellisuga minima,"NA : Hispaniola, Jamaica"
9977,Scaled Metaltail,Metallura aeneocauda,"SA : Peru, Bolivia"
9971,Violet-throated Metaltail,Metallura baroni,SA : sc Ecuador
9976,Fiery-throated Metaltail,Metallura eupogon,SA : Peru
9965,Perija Metaltail,Metallura iracunda,"SA : n Colombia, Venezuela"
9972,Neblina Metaltail,Metallura odomae,"SA : s Ecuador,  n Peru"
9980,Black Metaltail,Metallura phoebe,SA : Peru
9973,Coppery Metaltail,Metallura theresiae,SA : Peru
9957,Tyrian Metaltail,Metallura tyrianthina,SA : n Venezuela to n Bolivia
9966,Viridian Metaltail,Metallura williami,SA : c Colombia to s Ecuador
9660,Snowcap,Microchera albocoronata,MA : Honduras to Panama
10062,Slender-tailed Woodstar,Microstilbon burmeisteri,SA : c Bolivia to nw Argentina
10091,Short-tailed Woodstar,Myrmia micrura,"SA : w Ecuador, nw Peru"
10085,Purple-collared Woodstar,Myrtis fanny,"SA : Ecuador,  Peru"
9912,Booted Racket-tail,Ocreatus underwoodii,SA : n Venezuela to Bolivia
9995,Mountain Avocetbill,Opisthoprora euryptera,SA : Colombia to n Peru
